channel_id,mass_gev,sigma_nb,uncertainty_nb,source_id
ddbar,3.730000,0.09,0.12040032,BaBar:2007:DDbar:HEPData18803
ddbar,3.750000,2.45,0.48511236,BaBar:2007:DDbar:HEPData18803
ddbar,3.770000,7.03,0.9145504,BaBar:2007:DDbar:HEPData18803
ddbar,3.790000,2.71,0.50490852,BaBar:2007:DDbar:HEPData18803
ddbar,3.810000,0.28,0.17949159,BaBar:2007:DDbar:HEPData18803
ddbar,3.830000,0.64,0.2400554,BaBar:2007:DDbar:HEPData18803
ddbar,3.850000,0.86,0.31444351,BaBar:2007:DDbar:HEPData18803
ddbar,3.870000,0.84,0.29176437,BaBar:2007:DDbar:HEPData18803
ddbar,3.890000,1.14,0.28960049,BaBar:2007:DDbar:HEPData18803
ddbar,3.910000,1.05,0.30227314,BaBar:2007:DDbar:HEPData18803
ddbar,3.930000,0.69,0.22782062,BaBar:2007:DDbar:HEPData18803
ddbar,3.950000,1.04,0.27671632,BaBar:2007:DDbar:HEPData18803
ddbar,3.970000,0.63,0.22398668,BaBar:2007:DDbar:HEPData18803
ddbar,3.990000,0.14,0.11105344,BaBar:2007:DDbar:HEPData18803
ddbar,4.010000,0.08,0.11416364,BaBar:2007:DDbar:HEPData18803
ddbar,4.030000,0.68,0.21419753,BaBar:2007:DDbar:HEPData18803
ddbar,4.050000,0.67,0.21811628,BaBar:2007:DDbar:HEPData18803
ddbar,4.070000,1.06,0.26168279,BaBar:2007:DDbar:HEPData18803
ddbar,4.090000,0.73,0.23525221,BaBar:2007:DDbar:HEPData18803
ddbar,4.110000,0.64,0.21077085,BaBar:2007:DDbar:HEPData18803
ddbar,4.130000,0.65,0.22935456,BaBar:2007:DDbar:HEPData18803
ddbar,4.150000,0.31,0.13880267,BaBar:2007:DDbar:HEPData18803
ddbar,4.170000,0.35,0.15974461,BaBar:2007:DDbar:HEPData18803
ddbar,4.190000,0.64,0.19724909,BaBar:2007:DDbar:HEPData18803
ddbar,4.210000,0.26,0.12999561,BaBar:2007:DDbar:HEPData18803
ddbar,4.230000,0.31,0.15397451,BaBar:2007:DDbar:HEPData18803
ddbar,4.250000,0.36,0.15989557,BaBar:2007:DDbar:HEPData18803
ddbar,4.270000,0.06,0.070304848,BaBar:2007:DDbar:HEPData18803
ddbar,4.290000,0.12,0.092554801,BaBar:2007:DDbar:HEPData18803
ddbar,4.310000,0.06,0.060355378,BaBar:2007:DDbar:HEPData18803
ddbar,4.330000,0.19,0.092352066,BaBar:2007:DDbar:HEPData18803
ddbar,4.350000,0.25,0.11598501,BaBar:2007:DDbar:HEPData18803
ddbar,4.370000,0.01,0.040014848,BaBar:2007:DDbar:HEPData18803
ddbar,4.390000,0.3,0.13184712,BaBar:2007:DDbar:HEPData18803
ddbar,4.410000,0.16,0.10350598,BaBar:2007:DDbar:HEPData18803
ddbar,4.430000,0.47,0.15331803,BaBar:2007:DDbar:HEPData18803
ddbar,4.450000,0.39,0.1412276,BaBar:2007:DDbar:HEPData18803
ddbar,4.470000,0.4,0.13754315,BaBar:2007:DDbar:HEPData18803
ddbar,4.490000,0.37,0.14099626,BaBar:2007:DDbar:HEPData18803
ddbar,4.510000,0.09,0.060796678,BaBar:2007:DDbar:HEPData18803
ddbar,4.530000,0.25,0.11774633,BaBar:2007:DDbar:HEPData18803
ddbar,4.550000,0.21,0.093917816,BaBar:2007:DDbar:HEPData18803
ddbar,4.570000,0.05,0.060136532,BaBar:2007:DDbar:HEPData18803
ddbar,4.590000,0.14,0.071502717,BaBar:2007:DDbar:HEPData18803
ddbar,4.610000,0.23,0.10132324,BaBar:2007:DDbar:HEPData18803
ddbar,4.630000,0.16,0.086650918,BaBar:2007:DDbar:HEPData18803
ddbar,4.650000,0.09,0.050953274,BaBar:2007:DDbar:HEPData18803
ddbar,4.670000,0.08,0.050754688,BaBar:2007:DDbar:HEPData18803
ddbar,4.690000,0.21,0.087231704,BaBar:2007:DDbar:HEPData18803
ddbar,4.710000,0.08,0.050754688,BaBar:2007:DDbar:HEPData18803
ddbar,4.730000,0.08,0.050754688,BaBar:2007:DDbar:HEPData18803
ddbar,4.750000,0.14,0.071619185,BaBar:2007:DDbar:HEPData18803
ddbar,4.790000,0.1,0.064445863,BaBar:2007:DDbar:HEPData18803
ddbar,4.810000,0.1,0.064445863,BaBar:2007:DDbar:HEPData18803
ddbar,4.830000,0.17,0.07300125,BaBar:2007:DDbar:HEPData18803
ddbar,4.850000,0.1,0.057037437,BaBar:2007:DDbar:HEPData18803
ddbar,4.870000,0.06,0.050152268,BaBar:2007:DDbar:HEPData18803
ddbar,4.890000,0.1,0.06742954,BaBar:2007:DDbar:HEPData18803
ddbar,4.910000,0.12,0.067535176,BaBar:2007:DDbar:HEPData18803
ddbar,4.930000,0.14,0.072696369,BaBar:2007:DDbar:HEPData18803
ddbar,4.950000,0.14,0.052276836,BaBar:2007:DDbar:HEPData18803
ddbar,4.970000,0.12,0.051682554,BaBar:2007:DDbar:HEPData18803
ddbar,4.990000,0.06,0.044891536,BaBar:2007:DDbar:HEPData18803
dsstar_pair,4.226260,0.0327,0.0085158675,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.228000,0.084,0.024758837,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.233000,0.272,0.04327817,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.235700,0.3219,0.026248809,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.238000,0.381,0.047634021,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.241000,0.479,0.051400389,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.241660,0.478,0.035846897,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.243000,0.408,0.046872167,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.243800,0.503,0.034539832,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.246000,0.468,0.050803543,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.248000,0.594,0.059665736,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.253000,0.434,0.052153619,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.257970,0.554,0.037696154,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.258000,0.48,0.055470713,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.263000,0.553,0.065192024,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.266800,0.537,0.037576588,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.268000,0.496,0.088955045,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.273000,0.455,0.08228001,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.277700,0.472,0.034481879,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.278000,0.462,0.060033324,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.283000,0.417,0.059481089,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.287880,0.401,0.029068884,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.288000,0.524,0.066370174,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.298000,0.38,0.059093147,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.307890,0.231,0.031112698,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.308000,0.182,0.048104054,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.312050,0.1918,0.020035968,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.318000,0.0518,0.038327536,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.328000,0.0861,0.051670978,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.337390,0.0411,0.0079259069,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.338000,0.0289,0.048081597,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.348000,0.0577,0.07819367,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.358000,0.0587,0.088178002,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.358260,0.0221,0.0099247166,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.368000,0.0545,0.061221238,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.377370,0.0763,0.0099085821,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.378000,0.0255,0.044065406,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.387400,0.132,0.022203603,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.388000,0.179,0.05186521,BESIII:2023:DsstarPair:2305.10789
dsstar_pair,4.393000,0.185,0.051264022,BESIII:2023:DsstarPair:2305.10789
