m,exclusive_over_perturbative
0.3,1.0
0.305,1.0
0.31,1.0
0.315,1.0
0.32,1.0
0.325,1.0
0.33,1.0
0.335,1.0
0.34,1.0
0.345,1.0
0.35,1.0
0.355,1.0
0.36,1.0
0.365,1.0
0.37,1.0
0.375,1.0
0.38,1.0
0.385,1.0
0.39,1.0
0.395,1.0
0.4,1.0
0.405,1.0
0.41,1.0
0.415,1.0
0.42,1.0
0.425,1.0
0.43,1.0
0.435,1.0
0.44,1.0
0.445,1.0
0.45,1.0
0.455,1.0
0.46,1.0
0.465,1.0
0.47,1.0
0.475,1.0
0.48,1.0
0.485,1.0
0.49,1.0
0.495,1.0
0.5,1.0
0.505,1.0
0.51,1.0
0.515,1.0
0.52,1.0
0.525,1.0
0.53,1.0
0.535,1.0
0.54,1.0
0.545,1.0
0.55,1.0
0.555,1.0
0.56,1.0
0.565,1.0
0.57,1.0
0.575,1.0
0.58,1.0
0.585,1.0
0.59,1.0
0.595,1.0
0.6,1.0
0.605,1.0
0.61,1.0
0.615,1.0
0.62,1.0
0.625,1.0
0.63,1.0
0.635,1.0
0.64,1.0
0.645,1.0
0.65,1.0
0.655,1.0
0.66,1.0
0.665,1.0
0.67,1.0
0.675,1.0
0.68,1.0
0.685,1.0
0.69,1.0
0.695,1.0
0.7,1.0
0.705,1.0
0.71,1.0
0.715,1.0
0.72,1.0
0.725,1.0
0.73,1.0
0.735,1.0
0.74,1.0
0.745,1.0
0.75,1.0
0.755,1.0
0.76,1.0
0.765,1.0
0.77,1.0
0.775,1.0
0.78,1.0
0.785,1.0
0.79,1.0
0.795,1.0
0.8,1.0
0.805,1.0
0.81,1.0
0.815,1.0
0.82,1.0
0.825,1.0
0.83,1.0
0.835,1.0
0.84,1.0
0.845,1.0
0.85,1.0
0.855,1.0
0.86,1.0
0.865,1.0
0.87,1.0
0.875,1.0
0.88,1.0
0.885,1.0
0.89,1.0
0.895,1.0
0.9,1.0
0.905,1.0
0.91,1.0
0.915,1.0
0.92,1.0
0.925,1.0
0.93,1.0
0.935,1.0
0.94,1.0
0.945,1.0
0.95,1.0
0.955,1.0
0.96,1.0
0.965,1.0
0.97,1.0
0.975,1.0
0.98,1.0
0.985,1.0
0.99,1.0
0.995,1.0
1.0,1.0
1.005,1.0
1.01,1.0
1.015,1.0
1.02,1.0
1.025,1.0
1.03,1.0
1.035,1.0
1.04,1.0
1.045,1.0
1.05,1.0
1.055,1.0
1.06,1.0
1.065,1.0
1.07,1.0
1.075,1.0
1.08,1.0
1.085,1.0
1.09,1.0
1.095,1.0
1.1,1.0
1.105,1.0
1.11,1.0
1.115,1.0
1.12,1.0
1.125,1.0
1.13,1.0
1.135,1.0
1.14,1.0
1.145,1.0
1.15,1.0
1.155,1.0
1.16,1.0
1.165,1.0
1.17,1.0
1.175,1.0
1.18,1.0
1.185,1.0
1.19,1.0
1.195,1.0
1.2,1.0
1.205,1.0
1.21,1.0
1.215,1.0
1.22,1.0
1.225,1.0
1.23,1.0
1.235,1.0
1.24,1.0
1.245,1.0
1.25,1.0
1.255,1.0
1.26,1.0
1.265,1.0
1.27,1.0
1.275,1.0
1.28,1.0
1.285,1.0
1.29,1.0
1.295,1.0
1.3,1.0
1.305,1.0
1.31,1.0
1.315,1.0
1.32,1.0
1.325,1.0
1.33,1.0
1.335,1.0
1.34,1.0
1.345,1.0
1.35,1.0
1.355,1.0
1.36,1.0
1.365,1.0
1.37,1.0
1.375,1.0
1.38,1.0
1.385,1.0
1.39,1.0
1.395,1.0
1.4,1.0
1.405,1.0
1.41,1.0
1.415,1.0
1.42,1.0
1.425,1.0
1.43,1.0
1.435,1.0
1.44,1.0
1.445,1.0
1.45,1.0
1.455,1.0
1.46,1.0
1.465,1.0
1.47,1.0
1.475,1.0
1.48,1.0
1.485,1.0
1.49,1.0
1.495,1.0
1.5,1.0
1.505,1.0
1.51,1.0
1.515,1.0
1.52,1.0
1.525,1.0
1.53,1.0
1.535,1.0
1.54,1.0
1.545,1.0
1.55,1.0
1.555,1.0
1.56,1.0
1.565,1.0
1.57,1.0
1.575,1.0
1.58,1.0
1.585,1.0
1.59,1.0
1.595,1.0
1.6,1.0
1.605,1.0
1.61,1.0
1.615,1.0
1.62,1.0
1.625,1.0
1.63,1.0
1.635,1.0
1.64,1.0
1.645,1.0
1.65,1.0
1.655,1.0
1.66,1.0
1.665,1.0
1.67,1.0
1.675,1.0
1.68,1.0
1.685,1.0
1.69,1.0
1.695,1.0
1.7,1.0
1.705,0.9892374265378133
1.71,0.9783890514477405
1.715,0.967755871136574
1.72,0.957182781789473
1.725,0.9467439607729057
1.73,0.9364969466636491
1.735,0.9264562251289102
1.74,0.9165277812526914
1.745,0.9068051589907936
1.75,0.8975895589265854
1.755,0.8888691666712418
1.76,0.8802469685519518
1.765,0.871828250993875
1.77,0.8635151926854719
1.775,0.8551326610380892
1.78,0.847049358738642
1.785,0.8397622631034469
1.79,0.8333372618113449
1.795,0.8259762787027698
1.8,0.8188509196247334
1.805,0.8120283748478201
1.81,0.805322110880148
1.815,0.798615908827065
1.82,0.791894915108803
1.825,0.7850245959574214
1.83,0.7780061651681249
1.835,0.7708441953600671
1.84,0.7633142783567373
1.845,0.7556281433572785
1.85,0.7484900899296263
1.855,0.7413671026148348
1.86,0.7332508772085168
1.865,0.7249608247898411
1.87,0.7168919176820774
1.875,0.7090252671347189
1.88,0.7162831262021886
1.885,0.7211963823471609
1.89,0.719544188269506
1.895,0.7157447480222316
1.9,0.7109586398669568
1.905,0.705774045599157
1.91,0.700527192141685
1.915,0.6954162600416217
1.92,0.6905586264290612
1.925,0.6860458258414304
1.93,0.681940033556734
1.935,0.6782471278951667
1.94,0.674820433120585
1.945,0.6716930159741498
1.95,0.6688145701950465
1.955,0.6661750960071506
1.96,0.663822612167428
1.965,0.661800632270934
1.97,0.6600406957186983
1.975,0.6584182611754464
1.98,0.6570159293669757
1.985,0.655967640272729
1.99,0.6552517725556812
1.995,0.6544714002382445
2.0,0.6538364979284762
