# HNL CC channel basis, tau^- convention
pi-_pi0          -211:1 111:1
pi-_2pi0         -211:1 111:2
2pi-_pi+         -211:2 211:1
2pi-_pi+_pi0     -211:2 111:1 211:1
pi-_3pi0         -211:1 111:3
eta_pi-_pi0      -211:1 111:1 221:1
K_K              -321:1 311:1
K_K              -321:1 130:1
K_K              -321:1 310:1
K_K_pi           -321:1 -211:1 321:1
K_K_pi           -311:1 -211:1 311:1
K_K_pi           -211:1 130:1 310:1
K_K_pi           -211:1 130:2
K_K_pi           -211:1 310:2
K_K_pi           -211:1 130:1 311:1
K_K_pi           -211:1 310:1 311:1
K_K_pi           -311:1 -211:1 130:1
K_K_pi           -311:1 -211:1 310:1
K_K_pi           -321:1 111:1 311:1
K_K_pi           -321:1 111:1 130:1
K_K_pi           -321:1 111:1 310:1
5pi              -211:2 111:2 211:1
5pi              -211:3 211:2
5pi              -211:1 111:4
