m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
0.3,1,0,0,0,0,0,0,0,0,0
0.305,1,0,0,0,0,0,0,0,0,0
0.31,1,0,0,0,0,0,0,0,0,0
0.315,1,0,0,0,0,0,0,0,0,0
0.32,1,0,0,0,0,0,0,0,0,0
0.325,1,0,0,0,0,0,0,0,0,0
0.33,1,0,0,0,0,0,0,0,0,0
0.335,1,0,0,0,0,0,0,0,0,0
0.34,1,0,0,0,0,0,0,0,0,0
0.345,1,0,0,0,0,0,0,0,0,0
0.35,1,0,0,0,0,0,0,0,0,0
0.355,1,0,0,0,0,0,0,0,0,0
0.36,1,0,0,0,0,0,0,0,0,0
0.365,1,0,0,0,0,0,0,0,0,0
0.37,1,0,0,0,0,0,0,0,0,0
0.375,1,0,0,0,0,0,0,0,0,0
0.38,1,0,0,0,0,0,0,0,0,0
0.385,1,0,0,0,0,0,0,0,0,0
0.39,1,0,0,0,0,0,0,0,0,0
0.395,1,0,0,0,0,0,0,0,0,0
0.4,1,0,0,0,0,0,0,0,0,0
0.405,1,0,0,0,0,0,0,0,0,0
0.41,1,0,0,0,0,0,0,0,0,0
0.415,1,0,0,0,0,0,0,0,0,0
0.42,1,0,0,0,0,0,0,0,0,0
0.425,1,0,0,0,0,0,0,0,0,0
0.43,1,0,0,0,0,0,0,0,0,0
0.435,0.9999752494,2.475055804e-05,0,0,0,0,0,0,0,0
0.44,0.9999188665,8.113348347e-05,0,0,0,0,0,0,0,0
0.445,0.9998696382,0.000130361834,0,0,0,0,0,0,0,0
0.45,0.9998262916,0.0001737083502,0,0,0,0,0,0,0,0
0.455,0.999787839,0.0002121609592,0,0,0,0,0,0,0,0
0.46,0.9997535018,0.000246498219,0,0,0,0,0,0,0,0
0.465,0.9996573283,0.0002287870955,0.0001138845995,0,0,0,0,0,0,0
0.47,0.9995491814,0.000199915775,0.0002509028187,0,0,0,0,0,0,0
0.475,0.9994448212,0.0001720553626,0.0003831234457,0,0,0,0,0,0,0
0.48,0.9993440688,0.0001451581181,0.0005107730468,0,0,0,0,0,0,0
0.485,0.9992467562,0.000119179144,0.0006340646978,0,0,0,0,0,0,0
0.49,0.9989989969,0.0003391305379,0.000661872569,0,0,0,0,0,0,0
0.495,0.9986334226,0.000755841633,0.0006107357335,0,0,0,0,0,0,0
0.5,0.9982880929,0.001149476374,0.0005624307202,0,0,0,0,0,0,0
0.505,0.9979614196,0.001521845073,0.0005167353761,0,0,0,0,0,0,0
0.51,0.9976519752,0.001874574732,0.0004734500431,0,0,0,0,0,0,0
0.515,0.997443437,0.001917882229,0.0006386807974,0,0,0,0,0,0,0
0.52,0.9973204808,0.001710739828,0.0009687793381,0,0,0,0,0,0,0
0.525,0.9972056598,0.001517302484,0.001277037739,0,0,0,0,0,0,0
0.53,0.9970982066,0.001336277681,0.00156551573,0,0,0,0,0,0,0
0.535,0.9969974473,0.001166529989,0.001836022711,0,0,0,0,0,0,0
0.54,0.9959772188,0.002149565783,0.001873215422,0,0,0,0,0,0,0
0.545,0.9947835704,0.003372821346,0.00184360826,0,0,0,0,0,0,0
0.55,0.9937034988,0.004479682967,0.001816818247,0,0,0,0,0,0,0
0.555,0.992721647,0.005485888514,0.001792464472,0,0,0,0,0,0,0
0.56,0.9920549289,0.006185448743,0.001759622322,0,0,0,0,0,0,0
0.565,0.9923397394,0.005971457303,0.001688803281,0,0,0,0,0,0,0
0.57,0.9925969428,0.005778208341,0.001624848825,0,0,0,0,0,0,0
0.575,0.9928303417,0.005602844849,0.001566813446,0,0,0,0,0,0,0
0.58,0.9930430713,0.005443011138,0.001513917544,0,0,0,0,0,0,0
0.585,0.9933545316,0.005116973696,0.001528494741,0,0,0,0,0,0,0
0.59,0.9936481723,0.004797459849,0.0015543679,0,0,0,0,0,0,0
0.595,0.9939027174,0.004520486259,0.001576796292,0,0,0,0,0,0,0
0.6,0.9941254653,0.004278111714,0.001596422969,0,0,0,0,0,0,0
0.605,0.9944325999,0.004008622149,0.001558777973,0,0,0,0,0,0,0
0.61,0.9947906778,0.003723140856,0.001486181382,0,0,0,0,0,0,0
0.615,0.9951226112,0.00345850347,0.001418885301,0,0,0,0,0,0,0
0.62,0.995431133,0.003212531296,0.001356335698,0,0,0,0,0,0,0
0.625,0.9944674575,0.004083115038,0.001449427464,0,0,0,0,0,0,0
0.63,0.9924324612,0.005893120402,0.00167441837,0,0,0,0,0,0,0
0.635,0.9906064286,0.007517265295,0.001876306077,0,0,0,0,0,0,0
0.64,0.9889588923,0.008982648656,0.00205845909,0,0,0,0,0,0,0
0.645,0.9885392497,0.009272089835,0.002188660486,0,0,0,0,0,0,0
0.65,0.9889922911,0.008730463654,0.002277245251,0,0,0,0,0,0,0
0.655,0.9893935482,0.008250747393,0.002355704443,0,0,0,0,0,0,0
0.66,0.9897513898,0.007822935748,0.002425674462,0,0,0,0,0,0,0
0.665,0.9907160809,0.00676261239,0.002521306669,0,0,0,0,0,0,0
0.67,0.9918018123,0.005580795269,0.002617392466,0,0,0,0,0,0,0
0.675,0.9927567121,0.004541388036,0.00270189985,0,0,0,0,0,0,0
0.68,0.9936030184,0.003620184742,0.002776796847,0,0,0,0,0,1.13051047e-19,0
0.685,0.9928672879,0.003954881897,0.003177830229,0,0,0,0,0,1.547621536e-14,0
0.69,0.9921987811,0.004265643093,0.003535575844,0,0,0,0,0,3.653944132e-13,0
0.695,0.9916057947,0.004541297951,0.003852907344,0,0,0,0,0,3.696747937e-12,0
0.7,0.9913479284,0.004614184384,0.004035472807,2.414387591e-06,0,0,0,0,3.148585454e-11,0
0.705,0.9915761147,0.004387574513,0.004027702346,8.60826947e-06,0,0,0,0,1.556173464e-10,0
0.71,0.9917781113,0.004186973145,0.004020823716,1.409126614e-05,0,0,0,0,5.255453095e-10,0
0.715,0.9919581693,0.004008158377,0.004014692148,1.897877401e-05,0,0,0,0,1.387707282e-09,0
0.72,0.9919226575,0.004357916073,0.003662196405,1.873548949e-05,3.849143432e-05,0,0,0,3.070605611e-09,0
0.725,0.9918513347,0.004770844591,0.003279869329,1.758344515e-05,8.036192329e-05,0,0,0,6.015601097e-09,0
0.73,0.991787862,0.005138312131,0.002939634177,1.655823399e-05,0.000117622721,0,0,0,1.077317735e-08,0
0.735,0.991698151,0.00527795479,0.002866362923,1.995776322e-05,0.0001375553422,0,0,0,1.818146057e-08,0
0.74,0.9915594793,0.005092103961,0.003184304216,3.03418244e-05,0.0001337411746,0,0,0,2.949644812e-08,0
0.745,0.9914274198,0.004915122022,0.003487073135,4.023035155e-05,0.0001301090207,0,0,0,4.565687623e-08,0
0.75,0.9913015169,0.004746400128,0.003775711237,4.965736231e-05,0.0001266463853,0,0,0,6.796455162e-08,0
0.755,0.9906376033,0.005115682248,0.004057456505,5.16780343e-05,0.0001374797702,0,0,0,1.001518992e-07,0
0.76,0.989974096,0.005484732157,0.004339024605,5.369743539e-05,0.0001483063429,0,0,0,1.434105854e-07,0
0.765,0.9893110356,0.00585352595,0.004620397298,5.571543473e-05,0.0001591254023,0,0,0,2.003188363e-07,0
