m,wVec,wAx
0.3,1,0
0.305,1,0
0.31,1,0
0.315,1,0
0.32,1,0
0.325,1,0
0.33,1,0
0.335,1,0
0.34,1,0
0.345,1,0
0.35,1,0
0.355,1,0
0.36,1,0
0.365,1,0
0.37,1,0
0.375,1,0
0.38,1,0
0.385,1,0
0.39,1,0
0.395,1,0
0.4,1,0
0.405,1,0
0.41,1,0
0.415,1,0
0.42,1,0
0.425,1,0
0.43,1,0
0.435,0.9999752494,2.475055804e-05
0.44,0.9999188665,8.113348347e-05
0.445,0.9998696382,0.000130361834
0.45,0.9998262916,0.0001737083502
0.455,0.999787839,0.0002121609592
0.46,0.9997535018,0.000246498219
0.465,0.9996573283,0.000342671695
0.47,0.9995491814,0.0004508185937
0.475,0.9994448212,0.0005551788083
0.48,0.9993440688,0.0006559311649
0.485,0.9992467562,0.0007532438418
0.49,0.9989989969,0.001001003107
0.495,0.9986334226,0.001366577367
0.5,0.9982880929,0.001711907094
0.505,0.9979614196,0.002038580449
0.51,0.9976519752,0.002348024775
0.515,0.997443437,0.002556563026
0.52,0.9973204808,0.002679519167
0.525,0.9972056598,0.002794340223
0.53,0.9970982066,0.002901793411
0.535,0.9969974473,0.0030025527
0.54,0.9959772188,0.004022781205
0.545,0.9947835704,0.005216429606
0.55,0.9937034988,0.006296501215
0.555,0.992721647,0.007278352986
0.56,0.9920549289,0.007945071065
0.565,0.9923397394,0.007660260584
0.57,0.9925969428,0.007403057165
0.575,0.9928303417,0.007169658294
0.58,0.9930430713,0.006956928682
0.585,0.9933545316,0.006645468436
0.59,0.9936481723,0.006351827749
0.595,0.9939027174,0.00609728255
0.6,0.9941254653,0.005874534683
0.605,0.9944325999,0.005567400123
0.61,0.9947906778,0.005209322238
0.615,0.9951226112,0.004877388771
0.62,0.995431133,0.004568866993
0.625,0.9944674575,0.005532542502
0.63,0.9924324612,0.007567538772
0.635,0.9906064286,0.009393571372
0.64,0.9889588923,0.01104110775
0.645,0.9885392497,0.01146075032
0.65,0.9889922911,0.01100770891
0.655,0.9893935482,0.01060645184
0.66,0.9897513898,0.01024861021
0.665,0.9907160809,0.009283919059
0.67,0.9918018123,0.008198187735
0.675,0.9927567121,0.007243287886
0.68,0.9936030184,0.006396981589
0.685,0.9928672879,0.007132712126
0.69,0.9921987811,0.007801218937
0.695,0.9916057947,0.008394205299
0.7,0.9913503428,0.008649657223
0.705,0.991584723,0.008415277015
0.71,0.9917922026,0.008207797387
0.715,0.9919771481,0.008022851913
0.72,0.9919798845,0.008020115549
0.725,0.9919492801,0.008050719936
0.73,0.9919220429,0.008077957081
0.735,0.9918556641,0.008144335894
0.74,0.9917235623,0.008276437673
0.745,0.9915977592,0.008402240814
0.75,0.9914778207,0.00852217933
0.755,0.9908267611,0.009173238906
0.76,0.9901760998,0.009823900172
0.765,0.9895258764,0.01047412357
0.77,0.9882564309,0.01174356911
0.775,0.9866503737,0.01334962629
0.78,0.9849496119,0.01505038814
0.785,0.9830202021,0.01697979792
0.79,0.980785197,0.01921480301
0.795,0.9783402631,0.02165973689
0.8,0.9757908276,0.02420917235
0.805,0.973252706,0.02674729404
0.81,0.9703637316,0.02963626838
0.815,0.9670176639,0.03298233606
0.82,0.9630866424,0.03691335757
0.825,0.9586058084,0.04139419156
0.83,0.9534484562,0.04655154376
0.835,0.9475166389,0.05248336112
0.84,0.9407082697,0.05929173034
0.845,0.9324303773,0.06756962268
0.85,0.9212314599,0.07876854007
0.855,0.9087538435,0.09124615646
0.86,0.8933877599,0.1066122401
0.865,0.8720019058,0.1279980942
0.87,0.8486146828,0.1513853172
0.875,0.826352753,0.173647247
0.88,0.8085768253,0.1914231747
0.885,0.7894100097,0.2105899903
0.89,0.7685262272,0.2314737728
0.895,0.7462094198,0.2537905802
0.9,0.7226405026,0.2773594974
0.905,0.7002473622,0.2997526378
0.91,0.6779585093,0.3220414907
0.915,0.6548484566,0.3451515434
0.92,0.6262106125,0.3737893875
0.925,0.5960905283,0.4039094717
0.93,0.5647338518,0.4352661482
0.935,0.5337676419,0.4662323581
0.94,0.5033713287,0.4966286713
0.945,0.4816499253,0.5183500747
0.95,0.465644405,0.534355595
0.955,0.4494547829,0.5505452171
0.96,0.4281272605,0.5718727395
0.965,0.4064064245,0.5935935755
0.97,0.3872906903,0.6127093097
0.975,0.3731489971,0.6268510029
0.98,0.3589344632,0.6410655368
0.985,0.3425680058,0.6574319942
0.99,0.3261597572,0.6738402428
0.995,0.3109980046,0.6890019954
1.0,0.297981885,0.702018115
1.005,0.2848960223,0.7151039777
1.01,0.2834229973,0.7165770027
1.015,0.2857679739,0.7142320261
1.02,0.2859250139,0.7140749861
1.025,0.2805576217,0.7194423783
1.03,0.2752023877,0.7247976123
1.035,0.2549411881,0.7450588119
1.04,0.2324126247,0.7675873753
1.045,0.2192284441,0.7807715559
1.05,0.2177714442,0.7822285558
1.055,0.216510416,0.783489584
1.06,0.218298701,0.781701299
1.065,0.2200711114,0.7799288886
1.07,0.214882969,0.785117031
1.075,0.2061287246,0.7938712754
1.08,0.1992404779,0.8007595221
1.085,0.1966117872,0.8033882128
1.09,0.1941629158,0.8058370842
1.095,0.1931647992,0.8068352008
1.1,0.1921384214,0.8078615786
1.105,0.1951118416,0.8048881584
1.11,0.1993135172,0.8006864828
1.115,0.1995015547,0.8004984453
1.12,0.1958604115,0.8041395885
1.125,0.1939231679,0.8060768321
1.13,0.196413115,0.803586885
1.135,0.1990570227,0.8009429773
1.14,0.2045232005,0.7954767995
1.145,0.2104668955,0.7895331045
1.15,0.2064888669,0.7935111331
1.155,0.2010210978,0.7989789022
1.16,0.2023721254,0.7976278746
1.165,0.2067786587,0.7932213413
1.17,0.2047076818,0.7952923182
1.175,0.1971253346,0.8028746654
1.18,0.191786176,0.808213824
1.185,0.1896928552,0.8103071448
1.19,0.1886643156,0.8113356844
1.195,0.1901331443,0.8098668557
1.2,0.1945593963,0.8054406037
1.205,0.2103209197,0.7896790803
1.21,0.2251451748,0.7748548252
1.215,0.2309203553,0.7690796447
1.22,0.2359735341,0.7640264659
1.225,0.2283462244,0.7716537756
1.23,0.2210730805,0.7789269195
1.235,0.2240370861,0.7759629139
1.24,0.2273658671,0.7726341329
1.245,0.2387875667,0.7612124333
1.25,0.2496784502,0.7503215498
1.255,0.2485275499,0.7514724501
1.26,0.2472719856,0.7527280144
1.265,0.2471435147,0.7528564853
1.27,0.2471486759,0.7528513241
1.275,0.2511873006,0.7488126994
1.28,0.2553106125,0.7446893875
1.285,0.2598192442,0.7401807558
1.29,0.2638467023,0.7361532977
1.295,0.2617701277,0.7382298723
1.3,0.2633854659,0.7366145341
1.305,0.2762109062,0.7237890938
1.31,0.2844540124,0.7155459876
1.315,0.2913354125,0.7086645875
1.32,0.3001642511,0.6998357489
1.325,0.3092437794,0.6907562206
1.33,0.3185832151,0.6814167849
1.335,0.3234228373,0.6765771627
1.34,0.3243352585,0.6756647415
1.345,0.3253096165,0.6746903835
1.35,0.3263519348,0.6736480652
1.355,0.3384193246,0.6615806754
1.36,0.3538301742,0.6461698258
1.365,0.3702575696,0.6297424304
1.37,0.3861431621,0.6138568379
1.375,0.3924110621,0.6075889379
1.38,0.3989582844,0.6010417156
1.385,0.4058017428,0.5941982572
1.39,0.4134216157,0.5865783843
1.395,0.421884989,0.578115011
1.4,0.4308023708,0.5691976292
1.405,0.4402087673,0.5597912327
1.41,0.4588810407,0.5411189593
1.415,0.4735089788,0.5264910212
1.42,0.4848395925,0.5151604075
1.425,0.4938642591,0.5061357409
1.43,0.5012147729,0.4987852271
1.435,0.5087746551,0.4912253449
1.44,0.5172594069,0.4827405931
1.445,0.5261462845,0.4738537155
1.45,0.5354640551,0.4645359449
1.455,0.5452444352,0.4547555648
1.46,0.5555224823,0.4444775177
1.465,0.5663370485,0.4336629515
1.47,0.5719803297,0.4280196703
1.475,0.5758657648,0.4241342352
1.48,0.5799493286,0.4200506714
1.485,0.5842485046,0.4157514954
1.49,0.5887830399,0.4112169601
1.495,0.5935753035,0.4064246965
1.5,0.598650711,0.401349289
1.505,0.5982851618,0.4017148382
1.51,0.5978726789,0.4021273211
1.515,0.5974089568,0.4025910432
1.52,0.596889046,0.403110954
1.525,0.5963071864,0.4036928136
1.53,0.5956565945,0.4043434055
1.535,0.5953303727,0.4046696273
1.54,0.595527456,0.404472544
1.545,0.595676474,0.404323526
1.55,0.5957863634,0.4042136366
1.555,0.5958643056,0.4041356944
1.56,0.5959160934,0.4040839066
1.565,0.5959464099,0.4040535901
1.57,0.595959044,0.404040956
1.575,0.5959570588,0.4040429412
1.58,0.5959429256,0.4040570744
1.585,0.5944253689,0.4055746311
1.59,0.5923117117,0.4076882883
