m,pi-_pi0,pi-_3pi0,K_K,K_K_pi,eta_pi-_pi0
0.3,1,0,0,0,0
0.305,1,0,0,0,0
0.31,1,0,0,0,0
0.315,1,0,0,0,0
0.32,1,0,0,0,0
0.325,1,0,0,0,0
0.33,1,0,0,0,0
0.335,1,0,0,0,0
0.34,1,0,0,0,0
0.345,1,0,0,0,0
0.35,1,0,0,0,0
0.355,1,0,0,0,0
0.36,1,0,0,0,0
0.365,1,0,0,0,0
0.37,1,0,0,0,0
0.375,1,0,0,0,0
0.38,1,0,0,0,0
0.385,1,0,0,0,0
0.39,1,0,0,0,0
0.395,1,0,0,0,0
0.4,1,0,0,0,0
0.405,1,0,0,0,0
0.41,1,0,0,0,0
0.415,1,0,0,0,0
0.42,1,0,0,0,0
0.425,1,0,0,0,0
0.43,1,0,0,0,0
0.435,0.9999752494,0,0,0,0
0.44,0.9999188665,0,0,0,0
0.445,0.9998696382,0,0,0,0
0.45,0.9998262916,0,0,0,0
0.455,0.999787839,0,0,0,0
0.46,0.9997535018,0,0,0,0
0.465,0.9996573283,0,0,0,0
0.47,0.9995491814,0,0,0,0
0.475,0.9994448212,0,0,0,0
0.48,0.9993440688,0,0,0,0
0.485,0.9992467562,0,0,0,0
0.49,0.9989989969,0,0,0,0
0.495,0.9986334226,0,0,0,0
0.5,0.9982880929,0,0,0,0
0.505,0.9979614196,0,0,0,0
0.51,0.9976519752,0,0,0,0
0.515,0.997443437,0,0,0,0
0.52,0.9973204808,0,0,0,0
0.525,0.9972056598,0,0,0,0
0.53,0.9970982066,0,0,0,0
0.535,0.9969974473,0,0,0,0
0.54,0.9959772188,0,0,0,0
0.545,0.9947835704,0,0,0,0
0.55,0.9937034988,0,0,0,0
0.555,0.992721647,0,0,0,0
0.56,0.9920549289,0,0,0,0
0.565,0.9923397394,0,0,0,0
0.57,0.9925969428,0,0,0,0
0.575,0.9928303417,0,0,0,0
0.58,0.9930430713,0,0,0,0
0.585,0.9933545316,0,0,0,0
0.59,0.9936481723,0,0,0,0
0.595,0.9939027174,0,0,0,0
0.6,0.9941254653,0,0,0,0
0.605,0.9944325999,0,0,0,0
0.61,0.9947906778,0,0,0,0
0.615,0.9951226112,0,0,0,0
0.62,0.995431133,0,0,0,0
0.625,0.9944674575,0,0,0,0
0.63,0.9924324612,0,0,0,0
0.635,0.9906064286,0,0,0,0
0.64,0.9889588923,0,0,0,0
0.645,0.9885392497,0,0,0,0
0.65,0.9889922911,0,0,0,0
0.655,0.9893935482,0,0,0,0
0.66,0.9897513898,0,0,0,0
0.665,0.9907160809,0,0,0,0
0.67,0.9918018123,0,0,0,0
0.675,0.9927567121,0,0,0,0
0.68,0.9936030184,0,0,0,0
0.685,0.9928672879,0,0,0,0
0.69,0.9921987811,0,0,0,0
0.695,0.9916057947,0,0,0,0
0.7,0.9913479284,0,0,0,0
0.705,0.9915761147,0,0,0,0
0.71,0.9917781113,0,0,0,0
0.715,0.9919581693,0,0,0,0
0.72,0.9919226575,3.849143432e-05,0,0,0
0.725,0.9918513347,8.036192329e-05,0,0,0
0.73,0.991787862,0.000117622721,0,0,0
0.735,0.991698151,0.0001375553422,0,0,0
0.74,0.9915594793,0.0001337411746,0,0,0
0.745,0.9914274198,0.0001301090207,0,0,0
0.75,0.9913015169,0.0001266463853,0,0,0
0.755,0.9906376033,0.0001374797702,0,0,0
0.76,0.989974096,0.0001483063429,0,0,0
0.765,0.9893110356,0.0001591254023,0,0,0
0.77,0.9880352797,0.0001569671249,0,0,0
0.775,0.9864254949,0.0001489529523,0,0,0
0.78,0.9847207855,0.0001404663284,0,0,0
0.785,0.982777687,0.0001486933645,0,0,0
0.79,0.9805168307,0.0001775975384,0,0,0
0.795,0.978043618,0.0002092160271,0,0,0
0.8,0.975455734,0.0002437082651,0,0,0
0.805,0.9728571762,0.0002818124071,0,0,0
0.81,0.9698994134,0.0003251826074,0,0,0
0.815,0.9664896816,0.0003641477285,0,0,0
0.82,0.9625466241,0.000365752974,0,0,0
0.825,0.9580519652,0.0003675825955,0,0,1.059219284e-07
0.83,0.9528868259,0.0003583798372,0,0,9.616648719e-07
0.835,0.9469917338,0.0002884044459,0,0,2.786538098e-06
0.84,0.9402246407,0.000208090393,0,0,5.756631476e-06
0.845,0.9319416755,0.0001542287474,0,0,1.005430933e-05
0.85,0.9204885165,0.0002800748376,0,0,1.558650363e-05
0.855,0.9077267136,0.000420286889,0,0,2.267237921e-05
0.86,0.8921077898,0.0005328151735,0,0,3.142025385e-05
0.865,0.8706565414,0.0005133239335,0,0,4.157748099e-05
0.87,0.847196862,0.0004920081807,0,0,5.36302258e-05
0.875,0.8248516163,0.0005162966738,0,0,6.751706143e-05
0.88,0.8069792572,0.0006311629913,0,0,8.295412348e-05
0.885,0.7877075153,0.000755013408,0,0,0.0001005529837
0.89,0.7664921451,0.0008917691149,0,0,0.0001196837475
0.895,0.7436159994,0.001039616467,0,0,0.0001401205065
0.9,0.7194554334,0.00119575378,0,0,0.0001626482925
0.905,0.6970015821,0.00113516944,0,0,0.0001859572011
0.91,0.6748683749,0.0009846014844,0,0,0.0002105411042
0.915,0.6519187849,0.0008284875825,0,0,0.0002369499375
0.92,0.6210497735,0.0008198449842,0,0,0.0002662994115
0.925,0.5885174505,0.0008156782688,0,0,0.0002979663103
0.93,0.5551753472,0.0009307816726,0,0,0.0003292352772
0.935,0.5237432071,0.001383615239,0,0,0.0003535845848
0.94,0.4928887074,0.00182810417,0,0,0.0003783487792
0.945,0.4682690363,0.002124297528,0,0,0.0004070340233
0.95,0.4475918052,0.002321394987,0,0,0.0004392481699
0.955,0.4266760855,0.002520747215,0,0,0.0004726699584
0.96,0.4056490967,0.002356281812,0,0,0.0005060323667
0.965,0.3844960019,0.002171609407,0,0,0.0005403655123
0.97,0.365885684,0.002123248441,0,0,0.0005756422111
0.975,0.3521307853,0.00232955236,0,0,0.0006117650498
0.98,0.3383042694,0.002536905039,0,0,0.000648898487
0.985,0.3197814541,0.00232550044,0,0,0.0006760278218
0.99,0.3006122259,0.002010035509,0,0,0.0007002160059
0.995,0.2831613185,0.00183901143,6.482105742e-06,0,0.0007280838945
1.0,0.2690016131,0.00206502503,2.328687544e-05,0,0.0007675347753
1.005,0.2547594245,0.002292294667,4.593587543e-05,0,0.0008080127956
1.01,0.2523823663,0.002369376352,7.315214287e-05,0,0.0008493852573
1.015,0.2539006283,0.002397279443,0.000104254238,0,0.0008917485669
1.02,0.2527743508,0.002377962445,0.0001386697917,0,0.0009342413869
1.025,0.2449936489,0.002239791867,0.0001757158969,0,0.0009752892478
1.03,0.2372265498,0.00210187793,0.000215392937,0,0.001017115375
1.035,0.2188726503,0.001850284794,0.0002552716583,0,0.001050564056
1.04,0.1989869681,0.001583355436,0.0002962333341,0,0.001082538808
1.045,0.184726098,0.001400992168,0.0003382575447,0,0.001114029801
1.05,0.1774952343,0.00132446967,0.0003810697652,0,0.0011448108
1.055,0.1705406756,0.00125328755,0.0004249407545,0,0.001176165894
1.06,0.1656391999,0.001249654683,0.0004729163365,0,0.001216093476
1.065,0.1607834534,0.001246047867,0.0005222477428,0,0.001256561676
1.07,0.1561836061,0.001234625969,0.0005880939974,0,0.001332054392
1.075,0.1514198122,0.00121885015,0.0006667064638,0,0.001429109666
1.08,0.146023351,0.002340883119,0.0007381585213,0,0.001504291106
1.085,0.1401492411,0.005395885051,0.0007862281971,0,0.001529450502
1.09,0.1346592447,0.008173317827,0.0008358092746,0,0.001557572999
1.095,0.1321681877,0.008044008102,0.0009132811429,0,0.001635603092
1.1,0.1296020598,0.007910791395,0.0009948676814,0,0.001717125431
1.105,0.1254485842,0.007845145244,0.001069558017,0,0.001783648678
1.11,0.1206367403,0.007787453567,0.001141450946,0,0.001843429421
1.115,0.1178533239,0.007829005465,0.001216089632,0,0.001905901152
1.12,0.117066773,0.007970207694,0.001294519362,0,0.001972546266
1.125,0.1160334991,0.00803086581,0.001372379189,0,0.002036676795
1.13,0.1143776152,0.007882084495,0.001444527359,0,0.002091145559
1.135,0.1128630647,0.007728445573,0.00152200522,1.980419077e-06,0.002152331957
1.14,0.1131802664,0.007470815717,0.001667499082,1.013122593e-05,0.002306570201
1.145,0.113523014,0.007192437557,0.001826922568,2.549220129e-05,0.002474897098
1.15,0.1092575081,0.007742234306,0.00192963824,4.741405658e-05,0.002562926347
1.155,0.1043188378,0.008414923296,0.002024680482,7.616761481e-05,0.002639311471
1.16,0.1038924812,0.008734777487,0.002148894588,0.0001135326754,0.002751952053
1.165,0.1054475603,0.008908326874,0.002291190503,0.0001603479594,0.002885136462
1.17,0.1005923224,0.008739182198,0.002423780965,0.0002154214327,0.003003576083
1.175,0.09033782847,0.008280123889,0.002546745234,0.0002784739927,0.003108185433
1.18,0.08306873412,0.008143907544,0.002671083871,0.0003505492369,0.003212910703
1.185,0.08009169043,0.008467341388,0.002795471927,0.0004317100649,0.003316263168
1.19,0.07776710981,0.008579655498,0.00293626541,0.0005250479746,0.003437526615
1.195,0.07695450224,0.008194287307,0.003113936699,0.0006361518507,0.003599766702
1.2,0.0758699692,0.007883910705,0.003296453267,0.0007607544606,0.00376501167
1.205,0.07382230215,0.007904375291,0.003469836717,0.0008959341492,0.003917505666
1.21,0.07177214174,0.008295748726,0.003655760381,0.001047411123,0.004081993843
1.215,0.06993845272,0.0111898859,0.003887461164,0.001227023215,0.004294919599
1.22,0.06810713615,0.01389218205,0.004127448784,0.001426196968,0.004513918827
1.225,0.06732644235,0.01256690901,0.004299991103,0.00161757603,0.004656940029
1.23,0.06658609495,0.01130209752,0.004483350392,0.001827093295,0.00481021793
1.235,0.06720884201,0.01210078957,0.004863866094,0.002137935538,0.005171675679
1.24,0.06788088662,0.01296328971,0.005281918476,0.002494325678,0.005567739181
1.245,0.06736801551,0.01237588798,0.00533635602,0.002697868046,0.005578420945
1.25,0.06688066251,0.01181771268,0.005392452964,0.002909329553,0.005591989089
1.255,0.06790963404,0.01396060208,0.005871245919,0.003370663661,0.006041582467
1.26,0.06898232747,0.0163241693,0.006404510869,0.00390223982,0.006541347285
1.265,0.06163245737,0.01757278216,0.006718444819,0.004334181769,0.00681278686
1.27,0.05432559698,0.01881460805,0.007045102201,0.004801709182,0.007094572149
1.275,0.0544361414,0.01881247674,0.007350763653,0.005282675343,0.007352866419
1.28,0.05478314013,0.01885300853,0.007684687177,0.005812703546,0.007637176787
1.285,0.05838999933,0.01948596333,0.008283763118,0.00658409068,0.008181046319
1.29,0.06097872359,0.02101775353,0.008908201253,0.00742885759,0.008744461044
1.295,0.05413232368,0.02863875159,0.009327848943,0.008150459702,0.009102677394
1.3,0.04857637881,0.03496819151,0.009170918049,0.008385698497,0.008898637576
1.305,0.04900957083,0.03503034367,0.007262025718,0.006940902839,0.007007544279
1.31,0.04927930402,0.0350690436,0.006076632001,0.00606462709,0.005832284571
1.315,0.04952402463,0.03550065387,0.005576402413,0.005805930737,0.005324319594
1.32,0.0498818061,0.03680642741,0.005820787297,0.006316978941,0.005529538182
1.325,0.05024897631,0.0381464664,0.006074104736,0.006865794657,0.005741771228
1.33,0.05062590152,0.03952210767,0.006336511489,0.007454971052,0.005961097938
1.335,0.05048323819,0.04101165415,0.006671172393,0.008164416563,0.006246593635
1.34,0.04986566769,0.04265243851,0.007082121948,0.009011265445,0.006601140463
1.345,0.04920704371,0.04440229525,0.007522113341,0.009946365087,0.006980012723
1.35,0.04850314709,0.04627243404,0.007993756612,0.0109801838,0.007385352786
1.355,0.04631776979,0.04881976966,0.00843595733,0.01203337021,0.007760664049
1.36,0.04368024867,0.05163385222,0.008888327071,0.01316297433,0.008142653478
1.365,0.04089776944,0.0546025967,0.009365571239,0.01439666713,0.008544682115
1.37,0.03809564966,0.05737683125,0.009855782734,0.01572351503,0.00895570659
1.375,0.03603313355,0.05799100234,0.01028276115,0.01702392349,0.009306664622
1.38,0.03389176131,0.05862865502,0.01072397758,0.01842383403,0.009668105446
1.385,0.03166696729,0.05929114884,0.01117943534,0.01993067565,0.01003989548
1.39,0.02971713663,0.06091439736,0.01166391254,0.02157982896,0.01043511331
1.395,0.0280362421,0.06352474609,0.01217952292,0.0233871597,0.01085534354
1.4,0.02627669533,0.06625723797,0.01271318851,0.02533983758,0.0112886485
1.405,0.02443287991,0.06912059505,0.01326512094,0.02744963162,0.01173501308
1.41,0.02163798947,0.0714103385,0.01151175794,0.02473603644,0.01014627251
1.415,0.01953825415,0.07305467865,0.01009211987,0.02252333054,0.008862253957
1.42,0.0179477718,0.07430021373,0.009009931587,0.02089013813,0.007882814702
1.425,0.01670133456,0.07527632094,0.008155085076,0.01964865125,0.007108599935
1.43,0.0156982216,0.07606187659,0.007460465436,0.0186841735,0.006479051856
1.435,0.01497349292,0.0766647276,0.007396799272,0.01926090159,0.006399851219
1.44,0.01430984809,0.07724117526,0.007637736482,0.02068437022,0.006583517354
1.445,0.01361792871,0.07784218243,0.007880598246,0.02220228458,0.006767099636
