m,pi-_pi0,pi-_2pi0,2pi-_pi+,2pi-_pi+_pi0,pi-_3pi0,eta_pi-_pi0,K_K,K_K_pi,5pi,other
0.3,0,0,0,0,0,0,0,0,0,0
0.305,0,0,0,0,0,0,0,0,0,0
0.31,0,0,0,0,0,0,0,0,0,0
0.315,0,0,0,0,0,0,0,0,0,0
0.32,0,0,0,0,0,0,0,0,0,0
0.325,0,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0,0
0.335,0,0,0,0,0,0,0,0,0,0
0.34,0,0,0,0,0,0,0,0,0,0
0.345,0,0,0,0,0,0,0,0,0,0
0.35,0,0,0,0,0,0,0,0,0,0
0.355,0,0,0,0,0,0,0,0,0,0
0.36,0,0,0,0,0,0,0,0,0,0
0.365,0,0,0,0,0,0,0,0,0,0
0.37,0,0,0,0,0,0,0,0,0,0
0.375,0,0,0,0,0,0,0,0,0,0
0.38,0,0,0,0,0,0,0,0,0,0
0.385,0,0,0,0,0,0,0,0,0,0
0.39,0,0,0,0,0,0,0,0,0,0
0.395,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0
0.405,0,0,0,0,0,0,0,0,0,0
0.41,0,0,0,0,0,0,0,0,0,0
0.415,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0
0.425,0,0,0,0,0,0,0,0,0,0
0.43,0,0,0,0,0,0,0,0,0,0
0.435,0,1,0,0,0,0,0,0,0,0
0.44,0,1,0,0,0,0,0,0,0,0
0.445,0,1,0,0,0,0,0,0,0,0
0.45,0,1,0,0,0,0,0,0,0,0
0.455,0,1,0,0,0,0,0,0,0,0
0.46,0,1,0,0,0,0,0,0,0,0
0.465,0,0.6676568238,0.3323431762,0,0,0,0,0,0,0
0.47,0,0.4434505981,0.5565494019,0,0,0,0,0,0,0
0.475,0,0.3099098164,0.6900901836,0,0,0,0,0,0,0
0.48,0,0.2213008404,0.7786991596,0,0,0,0,0,0,0
0.485,0,0.1582211993,0.8417788007,0,0,0,0,0,0,0
0.49,0,0.3387906946,0.6612093054,0,0,0,0,0,0,0
0.495,0,0.5530909932,0.4469090068,0,0,0,0,0,0,0
0.5,0,0.671459554,0.328540446,0,0,0,0,0,0,0
0.505,0,0.7465219603,0.2534780397,0,0,0,0,0,0,0
0.51,0,0.7983624159,0.2016375841,0,0,0,0,0,0,0
0.515,0,0.7501799131,0.2498200869,0,0,0,0,0,0,0
0.52,0,0.6384503048,0.3615496952,0,0,0,0,0,0,0
0.525,0,0.5429913193,0.4570086807,0,0,0,0,0,0,0
0.53,0,0.4605006256,0.5394993744,0,0,0,0,0,0,0
0.535,0,0.3885127443,0.6114872557,0,0,0,0,0,0,0
0.54,0,0.534348172,0.465651828,0,0,0,0,0,0,0
0.545,0,0.6465766053,0.3534233947,0,0,0,0,0,0,0
0.55,0,0.7114559046,0.2885440954,0,0,0,0,0,0,0
0.555,0,0.7537266363,0.2462733637,0,0,0,0,0,0,0
0.56,0,0.7785265471,0.2214734529,0,0,0,0,0,0,0
0.565,0,0.7795370977,0.2204629023,0,0,0,0,0,0,0
0.57,0,0.7805165098,0.2194834902,0,0,0,0,0,0,0
0.575,0,0.7814660921,0.2185339079,0,0,0,0,0,0,0
0.58,0,0.782387083,0.217612917,0,0,0,0,0,0,0
0.585,0,0.7699944323,0.2300055677,0,0,0,0,0,0,0
0.59,0,0.7552880901,0.2447119099,0,0,0,0,0,0,0
0.595,0,0.7413935998,0.2586064002,0,0,0,0,0,0,0
0.6,0,0.7282469072,0.2717530928,0,0,0,0,0,0,0
0.605,0,0.720016895,0.279983105,0,0,0,0,0,0,0
0.61,0,0.7147073432,0.2852926568,0,0,0,0,0,0,0
0.615,0,0.7090891526,0.2909108474,0,0,0,0,0,0,0
0.62,0,0.7031352194,0.2968647806,0,0,0,0,0,0,0
0.625,0,0.7380178348,0.2619821652,0,0,0,0,0,0,0
0.63,0,0.7787367306,0.2212632694,0,0,0,0,0,0,0
