# HNL NC neutral channel basis
2Pich    -211:1 211:1
3Pi      -211:1 111:1 211:1
3Pi      111:3
4Pi      -211:1 111:2 211:1
4Pi      -211:2 211:2
5Pi      -211:2 111:1 211:2
5Pi      -211:1 111:3 211:1
KK       -321:1 321:1
KK       -311:1 311:1
KK       130:1 310:1
KKpi     -321:1 211:1 311:1
KKpi     -311:1 -211:1 321:1
KKpi     -321:1 111:1 321:1
KKpi     -311:1 111:1 311:1
KKpi     -321:1 130:1 211:1
KKpi     -321:1 211:1 310:1
KKpi     -211:1 130:1 321:1
KKpi     -211:1 310:1 321:1
KKpi     111:1 130:1 310:1
