m,KK,KKpi,other
0.3,0,0,0
0.32,0,0,0
0.34,0,0,0
0.36,0,0,0
0.38,0,0,0
0.4,0,0,0
0.42,0,0,0
0.44,0,0,0
0.46,0,0,0
0.48,0,0,0
0.5,0,0,0
0.52,0,0,0
0.54,0,0,0
0.56,0,0,0
0.58,0,0,0
0.6,0,0,0
0.62,0,0,0
0.64,0,0,0
0.66,0,0,0
0.68,0,0,0
0.7,0,0,0
0.72,0,0,0
0.74,0,0,0
0.76,0,0,0
0.78,0,0,0
0.8,0,0,0
0.82,0,0,0
0.84,0,0,0
0.86,0,0,0
0.88,0,0,0
0.9,0,0,0
0.92,0,0,0
0.94,0,0,0
0.96,0,0,0
0.98,0,0,0
1.0,1,0,0
1.02,1,0,0
1.04,1,0,0
1.06,1,0,0
1.08,1,0,0
1.1,1,0,0
1.12,1,0,0
1.14,1,0,0
1.16,1,0,0
1.18,1,0,0
1.2,1,0,0
1.22,1,0,0
1.24,1,0,0
1.26,1,0,0
1.28,1,0,0
1.3,1,0,0
1.32,1,0,0
1.34,1,0,0
1.36,1,0,0
1.38,1,0,0
1.4,0.9656071485,0.0343928515,0
1.42,0.8611927616,0.1388072384,0
1.44,0.7406754536,0.2593245464,0
1.46,0.6189805251,0.3810194749,0
1.48,0.5025117331,0.4974882669,0
1.5,0.4028477657,0.5971522343,0
1.52,0.329278271,0.670721729,0
1.54,0.2891319388,0.7108680612,0
1.56,0.2774322267,0.7225677733,0
1.58,0.2681282538,0.7318717462,0
1.6,0.2597086296,0.7402913704,1.13083434e-16
1.62,0.2520779885,0.7479220115,0
1.64,0.2451476604,0.7548523396,0
1.66,0.2388378007,0.7611621993,0
1.68,0.2330777148,0.7669222852,0
1.7,0.2278053658,0.7721946342,0
1.72,0.2229665553,0.7770334447,0
1.74,0.2185140141,0.7814859859,0
1.76,0.2144065179,0.7855934821,1.347156368e-16
1.78,0.2106080776,0.7893919224,1.341894551e-16
1.8,0.2070872198,0.7929127802,0
1.82,0.2038163613,0.7961836387,0
1.84,0.2007712688,0.7992287312,0
1.86,0.1979305977,0.8020694023,0
1.88,0.1952754967,0.8047245033,0
1.9,0.1927892719,0.8072107281,0
1.92,0.1904570998,0.8095429002,0
1.94,0.1882657827,0.8117342173,1.328313012e-16
1.96,0.1862035395,0.8137964605,0
1.98,0.1842598268,0.8157401732,0
2.0,0.1824251856,0.8175748144,0
2.02,0.1806911086,0.8193088914,0
2.04,0.1790499272,0.8209500728,0
2.06,0.1774947128,0.8225052872,1.276141819e-16
2.08,0.1760191917,0.8239808083,0
2.1,0.1746176712,0.8253823288,0
2.12,0.1732849752,0.8267150248,0
2.14,0.1720163883,0.8279836117,0
2.16,0.170807606,0.829192394,0
2.18,0.1696546925,0.8303453075,1.188180135e-16
2.2,0.1685540421,0.8314459579,0
2.22,0.1673479297,0.8319907525,0.0006613177853
2.24,0.165893013,0.8315071839,0.00259980316
2.26,0.1642070359,0.8300448755,0.00574808863
2.28,0.1623071913,0.8276529805,0.01003982818
2.3,0.1602101778,0.8243802278,0.01540959437
2.32,0.1579322494,0.8202749634,0.02179278718
2.34,0.1554892607,0.8153851862,0.02912555311
2.36,0.1528967057,0.809758581,0.03734471325
2.38,0.1501697534,0.8034425475,0.04638769914
2.4,0.1473232786,0.7964842258,0.0561924956
2.42,0.1443718905,0.7889305201,0.06669758947
2.44,0.1413299569,0.7808281193,0.07784192383
2.46,0.1382116273,0.7722235158,0.08956485682
2.48,0.1350308526,0.7631630227,0.1018061246
2.5,0.1318014032,0.7536927885,0.1145058083
2.52,0.1285368852,0.7438588114,0.1276043035
2.54,0.1252507551,0.7337069513,0.1410422936
2.56,0.1219563334,0.7232829414,0.1547607252
2.58,0.1186668158,0.7126323984,0.1687007858
2.6,0.1153952846,0.7018008319,0.1828038836
2.62,0.1121547182,0.6908336524,0.1970116294
2.64,0.1089580004,0.6797761796,0.21126582
2.66,0.1058179279,0.6686736491,0.225508423
2.68,0.1027472181,0.657571219,0.239681563
2.7,0.09975851549,0.6465139754,0.2537275091
2.72,0.09686439813,0.6355469385,0.2675886634
2.74,0.0940773828,0.6247150665,0.2812075507
2.76,0.09140993033,0.6140632613,0.2945268084
2.78,0.08887445012,0.6036363714,0.3074891785
2.8,0.08648330448,0.5934791969,0.3200374986
2.82,0.08424881246,0.583636492,0.3321146955
2.84,0.08218325343,0.574152969,0.3436637775
2.86,0.08029887034,0.5650733008,0.3546278289
2.88,0.07860787274,0.5564421236,0.3649500037
2.9,0.07712243953,0.5483040399,0.3745735206
2.92,0.07585472146,0.5407036203,0.3834416582
2.94,0.07481684352,0.5336854063,0.3914977502
2.96,0.07402090702,0.5272939114,0.3986851816
2.98,0.07347899162,0.5215736238,0.4049473846
3.0,0.07320315708,0.5165690077,0.4102278352
