m,2Pich,3Pi,4Pi,5Pi,other
0.3,0.9999725686,2.743140841e-05,0,0,0
0.32,0.9999857847,1.421528658e-05,0,0,0
0.34,0.9999888822,1.111781827e-05,0,0,0
0.36,0.9999898245,1.017549039e-05,0,0,0
0.38,0.9999899357,1.006429737e-05,0,0,0
0.4,0.9999896138,1.038623929e-05,0,0,0
0.42,0.9995659568,1.096720706e-05,0,0,0.0004230759993
0.44,0.977673237,0.0002976473616,0,0,0.02202911568
0.46,0.9587579226,0.000865138695,0,0,0.04037693871
0.48,0.9393412547,0.002216634544,0,0,0.05844211072
0.5,0.9236388277,0.0057029323,0,0,0.07065823998
0.52,0.9142608123,0.008834455236,0,0,0.07690473243
0.54,0.9092728438,0.01318518093,0,0,0.07754197526
0.56,0.9021421642,0.02599397427,0,0,0.07186386154
0.58,0.9114260049,0.02298542552,0,0,0.0655885696
0.6,0.9261170415,0.0197057199,0,0,0.05417723864
0.62,0.935189448,0.01547755112,0,0,0.04933300092
0.64,0.9212126487,0.03705467234,0,0,0.04173267893
0.66,0.9307324134,0.03473393185,0,0,0.03453365474
0.68,0.9499017916,0.02207146393,0,3.961167495e-19,0.02802674452
0.7,0.9477957443,0.0298465573,2.445055607e-06,1.10326214e-10,0.02235525328
0.72,0.9541716902,0.02800040647,5.830398523e-05,1.082438819e-08,0.01776958855
0.74,0.9560413169,0.02938359332,0.0001675360742,1.042067742e-07,0.0144074495
0.76,0.9514694162,0.0367773077,0.0002055820251,5.049964622e-07,0.01154718904
0.78,0.8792076499,0.1205742973,0.000216341099,1.71166056e-06,0
0.8,0.9015526828,0.09150904451,0.0003279037142,5.580389586e-06,0.006604788574
0.82,0.8590262701,0.1220999641,0.0005100909892,1.564733271e-05,0.01834802756
0.84,0.7923795956,0.1818315334,0.0004262711033,3.868385955e-05,0.02532391605
0.86,0.6779232297,0.2918785665,0.001002918835,8.002742707e-05,0.0291152575
0.88,0.5238481508,0.4453177142,0.001038409075,0.0001373105022,0.02965841543
0.9,0.4082375401,0.5613434844,0.0018056341,0.0002177619391,0.02839557951
0.92,0.3100175516,0.6614121152,0.002558960872,0.000316465163,0.0256949072
0.94,0.2163322282,0.7587856877,0.00456149625,0.000411682619,0.01990890525
0.96,0.1688324086,0.8056318701,0.009144869058,0.0005509112906,0.015839941
0.98,0.1315868342,0.8437382726,0.007771924966,0.0007249453308,0.01617802297
1.0,0.09894295612,0.8738012185,0.01036851602,0.0008949625874,0.01599234681
1.02,0.0918649139,0.876187283,0.01165790716,0.001189310315,0.0191005856
1.04,0.06907724234,0.8993087594,0.01112490143,0.001452489362,0.01903660746
1.06,0.05679718885,0.9048793197,0.0174776298,0.001773059607,0.01907280203
1.08,0.04920197303,0.9105248055,0.01717570977,0.00236130759,0.02073620414
1.1,0.04342101499,0.9129431293,0.02004315985,0.002922481407,0.02067021445
1.12,0.03936387391,0.9101721256,0.02527549026,0.0036550583,0.02153345191
1.14,0.03838385799,0.905648586,0.02931749638,0.00465063476,0.02199942486
1.16,0.03519181468,0.9053103136,0.03125449169,0.005945611415,0.02229776861
1.18,0.02796189519,0.9079317261,0.03387389102,0.007358920719,0.02287356701
1.2,0.02561343516,0.9058197078,0.03682031567,0.009175640912,0.02257090042
1.22,0.02391681217,0.8844587828,0.05366073553,0.01207562251,0.025888047
1.24,0.02358767649,0.8874494845,0.04962272058,0.01547640678,0.02386371167
1.26,0.02436602319,0.8778538399,0.05592428608,0.01932107473,0.02253477609
1.28,0.01946934841,0.8733296523,0.06286183866,0.02363644548,0.02070271516
1.3,0.01739145684,0.8617930054,0.06673804748,0.0288131356,0.02526435463
1.32,0.01874796147,0.8424252844,0.08185503255,0.01948983343,0.0374818881
1.34,0.01911479639,0.8189815205,0.09038049929,0.02460947577,0.04691370808
1.36,0.01718064293,0.7832614169,0.1022925555,0.03237398978,0.06489139494
1.38,0.01390868622,0.7308414711,0.1222865972,0.04187929016,0.09108395532
1.4,0.01106957668,0.6777748226,0.1345865427,0.05281019829,0.1237588597
1.42,0.007997556895,0.6171083553,0.1597879818,0.04147314226,0.1736329637
1.44,0.006586299624,0.5776167056,0.1746308739,0.03855489939,0.2026112215
1.46,0.005408947722,0.5179517318,0.1907300696,0.04854649771,0.2373627531
1.48,0.004401698613,0.4694207322,0.2005310457,0.06098165969,0.2646648638
1.5,0.003371064306,0.4213928044,0.2074611843,0.07703385117,0.2907410958
1.52,0.003364606485,0.3874544798,0.2024276136,0.1001972727,0.3065560275
1.54,0.003175633876,0.3564654956,0.1977148565,0.1168351442,0.3258088698
1.56,0.002761394191,0.3525076509,0.196879016,0.1087909803,0.3390609585
1.58,0.002456858421,0.3495399914,0.1962638551,0.1034433174,0.3482959778
1.6,0.002282499791,0.3365142699,0.1942087006,0.1327461686,0.3342483612
1.62,0.002034656242,0.3163039141,0.1910598632,0.1795356947,0.3110658717
1.64,0.001630543104,0.2834775223,0.1859244647,0.2570221146,0.2719453553
1.66,0.001604802804,0.2817211419,0.1829893988,0.2554687083,0.2782159482
1.68,0.001555721178,0.2783119238,0.1773928126,0.2523673492,0.2903721932
1.7,0.001509466311,0.2748963209,0.1721185506,0.2492597643,0.3022158979
1.72,0.001465792872,0.2714593044,0.1671386389,0.2461553192,0.3137809447
1.74,0.001424483812,0.2680413225,0.1624283281,0.2430618083,0.3250440573
1.76,0.001385346352,0.2646630287,0.1579656363,0.2399857094,0.3360002792
1.78,0.001348208635,0.2613452563,0.1537309675,0.2369323929,0.3466431747
1.8,0.001312916928,0.2580954008,0.1497067918,0.2339062964,0.3569785941
1.82,0.001279333253,0.2549210953,0.1458773765,0.2309110684,0.3670111266
1.84,0.001247333398,0.2518168832,0.142228558,0.2279496897,0.3767575357
1.86,0.001216805211,0.2487632812,0.1387475479,0.2250245744,0.3862477913
1.88,0.001187647147,0.2457257195,0.1354227678,0.2221376547,0.3955262108
1.9,0.001159767029,0.2426577936,0.1322437067,0.2192904535,0.4046482792
1.92,0.001133080969,0.2395212785,0.1292007995,0.2164841442,0.4136606968
1.94,0.001107512444,0.2363257781,0.1262853204,0.2137196035,0.4225617855
1.96,0.001082991493,0.2331165313,0.1234892921,0.2109974544,0.4313137307
1.98,0.001059454013,0.2300329649,0.1208054051,0.2083181042,0.4397840718
2.0,0.001036841152,0.2272562921,0.1182269488,0.2056817762,0.4477981417
2.02,0.001021457241,0.223911051,0.1164727816,0.2026300165,0.4559646938
2.04,0.001006450242,0.2206477696,0.1147615921,0.199653026,0.4639311621
2.06,0.0009918073452,0.2174636627,0.1130919197,0.1967482638,0.4717043465
2.08,0.0009775162955,0.2143560653,0.1114623671,0.1939132986,0.4792907527
2.1,0.0009635653634,0.2113224269,0.1098715968,0.1911458039,0.4866966072
2.12,0.0009499433179,0.2083603052,0.1083183281,0.1884435514,0.493927872
2.14,0.0009366394003,0.2054673607,0.1068013343,0.1858044071,0.5009902584
2.16,0.0009236433006,0.2026413516,0.1053194398,0.1832263258,0.5078892396
2.18,0.0009109451345,0.1998801284,0.1038715175,0.1807073465,0.5146300625
2.2,0.0008985354223,0.1971816299,0.1024564864,0.1782455888,0.5212177594
2.22,0.0008864050688,0.1945438782,0.1010733096,0.1758392485,0.5276571586
2.24,0.0008745453445,0.191964975,0.09972099152,0.1734865939,0.5339528942
2.26,0.0008629478674,0.1894430978,0.09839857648,0.1711859621,0.5401094158
2.28,0.0008516045867,0.1869764958,0.09710514647,0.1689357562,0.546130997
2.3,0.0008405077667,0.1845634869,0.0958398194,0.1667344415,0.5520217444
2.32,0.0008296499718,0.1822024543,0.09460174744,0.1645805431,0.5577856052
2.34,0.0008190240526,0.1798918433,0.09339011535,0.1624726426,0.5634263747
